tmin	tier	text	tmax
51.945504	word	{BR}	52.333560
52.333560	phone	sp	52.373469
52.333560	word	sp	52.373469
52.373469	phone	DH	52.413379
52.373469	word	THE	52.443311
52.413379	phone	AH0	52.443311
52.443311	phone	R	52.553061
52.443311	word	RIGHT	52.662812
52.553061	phone	AY1	52.602948
52.602948	phone	T	52.662812
52.662812	phone	F	52.712698
52.662812	word	FIELDER	53.141723
52.712698	phone	IY1	52.792517
52.792517	phone	L	52.932200
52.932200	phone	D	52.962132
52.962132	phone	ER0	53.141723
53.141723	phone	AE1	53.231519
53.141723	word	AND	53.460998
53.231519	phone	N	53.460998
53.460998	phone	AY1	53.600680
53.460998	word	I'D	53.640590
53.600680	phone	D	53.640590
53.640590	phone	N	53.670522
53.640590	word	NEVER	53.840136
